,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
783336,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:43
783337,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:43
783338,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:43
783339,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:43
783344,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:45
783345,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:45
783346,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:45
783347,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:46
783348,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:46
783349,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:46
783354,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:48
783355,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:48
783356,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:48
783357,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:48
783358,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:48
783359,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:48
783364,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:51
783365,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:51
783366,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:51
783367,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:51
783368,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:51
783369,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:51
783374,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:53
783375,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:54
783376,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:54
783377,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:54
783378,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:54
783379,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:54
783384,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:56
783385,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:56
783386,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:56
783387,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:56
783388,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:56
783389,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:57
783394,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:38:59
783395,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:38:59
783396,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:38:59
783397,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:38:59
783398,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:38:59
783399,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:38:59
783404,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:02
783405,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:02
783406,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:02
783407,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:02
783408,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:02
783409,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:02
783414,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:04
783415,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:04
783416,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:05
783417,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:05
783418,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:05
783419,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:05
783424,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:07
783425,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:07
783426,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:07
783427,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:07
783428,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:07
783429,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:07
783434,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:10
783435,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:10
783436,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:10
783437,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:10
783438,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:10
783439,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:10
783444,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:13
783445,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:13
783446,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:13
783447,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:13
783448,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:13
783449,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:13
783454,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:15
783455,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:15
783456,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:15
783457,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:16
783458,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:16
783459,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:16
783464,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:18
783465,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:18
783466,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:18
783467,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:18
783468,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:18
783469,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:18
783474,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:21
783475,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:21
783476,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:21
783477,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:21
783478,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:21
783479,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:21
783484,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:23
783485,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:24
783486,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:24
783487,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:24
783488,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:24
783489,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:24
783494,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:26
783495,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:26
783496,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:26
783497,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:26
783498,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:26
783499,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:26
783504,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:29
783505,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:29
783506,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:29
783507,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:29
783508,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:29
783509,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:29
783514,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:32
783515,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:32
783516,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:32
783517,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:32
783518,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:32
783519,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:32
783524,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:34
783525,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:34
783526,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:34
783527,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:34
783528,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:35
783529,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:35
783534,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:37
783535,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:37
783536,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:37
783537,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:37
783538,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:37
783539,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:37
783544,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:40
783545,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:40
783546,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:40
783547,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 12:39:40
783548,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 12:39:40
783549,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 12:39:40
783554,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 12:39:42
783555,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 12:39:42
783556,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 12:39:43
