,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1316668,radialhorizontal,3.8,5.539,3.498,28.067,3.917,14.882,2021-06-28 15:42:52
1316669,bearingradial,4.943,6.019,3.901,41.46,4.256,21.036,2021-06-28 15:42:52
1316674,axialdirection,3.104,1.122,0.219,4.746,0.768,2.462,2021-06-28 15:42:54
1316675,radialvertical,3.311,6.539,3.994,30.298,4.624,15.308,2021-06-28 15:42:55
1316676,radialhorizontal,2.809,9.362,6.077,37.058,6.62,18.597,2021-06-28 15:42:55
1316677,radialvertical,4.102,4.015,2.598,21.778,2.839,11.644,2021-06-28 15:42:55
1316678,radialhorizontal,3.539,5.507,3.466,27.269,3.894,13.779,2021-06-28 15:42:55
1316679,bearingradial,5.043,6.033,3.951,40.143,4.266,21.511,2021-06-28 15:42:55
1316684,axialdirection,3.325,1.131,0.208,4.88,0.8,2.66,2021-06-28 15:42:57
1316685,radialvertical,3.421,6.542,3.982,30.681,4.626,15.825,2021-06-28 15:42:57
1316686,radialhorizontal,2.9,9.325,6.062,37.62,6.594,19.122,2021-06-28 15:42:57
1316687,radialvertical,3.513,4.074,2.633,19.986,2.881,10.121,2021-06-28 15:42:57
1316688,radialhorizontal,3.909,5.365,3.527,27.586,3.794,14.831,2021-06-28 15:42:57
1316689,bearingradial,4.843,5.959,3.782,38.997,4.214,20.407,2021-06-28 15:42:58
1316694,axialdirection,3.89,1.089,0.241,5.168,0.77,2.996,2021-06-28 15:43:00
1316695,radialvertical,3.587,6.641,3.957,32.915,4.696,16.844,2021-06-28 15:43:00
1316696,radialhorizontal,3.252,9.369,6.11,41.103,6.625,21.541,2021-06-28 15:43:00
1316697,radialvertical,4.081,4.038,2.598,21.783,2.855,11.652,2021-06-28 15:43:00
1316698,radialhorizontal,4.038,5.334,3.506,28.838,3.771,15.228,2021-06-28 15:43:00
1316699,bearingradial,5.237,5.804,3.716,41.31,4.104,21.49,2021-06-28 15:43:00
1316704,axialdirection,3.142,1.067,0.22,4.528,0.755,2.371,2021-06-28 15:43:03
1316705,radialvertical,3.559,6.574,3.962,32.81,4.648,16.544,2021-06-28 15:43:03
1316706,radialhorizontal,2.898,9.427,6.096,37.895,6.666,19.321,2021-06-28 15:43:03
1316707,radialvertical,4.052,4.032,2.561,21.819,2.851,11.552,2021-06-28 15:43:03
1316708,radialhorizontal,3.925,5.317,3.317,29.32,3.76,14.757,2021-06-28 15:43:03
1316709,bearingradial,5.058,5.954,3.731,41.11,4.21,21.292,2021-06-28 15:43:03
1316714,axialdirection,3.264,1.154,0.232,5.028,0.816,2.663,2021-06-28 15:43:05
1316715,radialvertical,3.191,6.609,3.992,29.719,4.673,14.909,2021-06-28 15:43:05
1316716,radialhorizontal,2.828,9.464,6.147,37.63,6.692,18.927,2021-06-28 15:43:06
1316717,radialvertical,3.826,4.085,2.683,21.086,2.889,11.051,2021-06-28 15:43:06
1316718,radialhorizontal,3.553,5.459,3.511,26.96,3.86,13.715,2021-06-28 15:43:06
1316719,bearingradial,5.113,5.811,3.629,40.341,4.109,21.007,2021-06-28 15:43:06
1316724,axialdirection,3.114,1.161,0.219,4.756,0.821,2.556,2021-06-28 15:43:08
1316725,radialvertical,3.411,6.603,4.008,31.594,4.669,15.927,2021-06-28 15:43:08
1316726,radialhorizontal,2.971,9.336,6.081,39.065,6.601,19.614,2021-06-28 15:43:08
1316727,radialvertical,3.629,4.076,2.605,20.679,2.882,10.461,2021-06-28 15:43:08
1316728,radialhorizontal,4.199,5.2,3.245,29.253,3.677,15.438,2021-06-28 15:43:08
1316729,bearingradial,6.176,6.276,4.175,47.995,4.24,27.408,2021-06-28 15:43:08
1316734,axialdirection,3.488,1.161,0.221,5.395,0.821,2.863,2021-06-28 15:43:11
1316735,radialvertical,3.373,6.558,3.984,30.215,4.637,15.639,2021-06-28 15:43:11
1316736,radialhorizontal,2.974,9.372,6.134,39.178,6.627,19.706,2021-06-28 15:43:11
1316737,radialvertical,3.539,4.058,2.646,19.164,2.87,10.155,2021-06-28 15:43:11
1316738,radialhorizontal,3.855,5.452,3.253,28.931,3.855,14.863,2021-06-28 15:43:11
1316739,bearingradial,5.034,6.02,3.755,42.207,4.257,21.428,2021-06-28 15:43:11
1316744,axialdirection,3.474,1.2,0.267,5.35,0.848,2.946,2021-06-28 15:43:14
1316745,radialvertical,3.947,6.546,3.96,32.873,4.629,18.27,2021-06-28 15:43:14
1316746,radialhorizontal,2.898,9.332,6.098,38.107,6.599,19.121,2021-06-28 15:43:14
1316747,radialvertical,3.916,4.043,2.631,20.906,2.859,11.197,2021-06-28 15:43:14
1316748,radialhorizontal,3.514,5.395,3.212,25.541,3.815,13.405,2021-06-28 15:43:14
1316749,bearingradial,4.981,6.024,4.0,40.387,4.26,21.216,2021-06-28 15:43:14
1316754,axialdirection,3.624,1.136,0.215,5.475,0.804,2.912,2021-06-28 15:43:16
1316755,radialvertical,3.395,6.53,3.963,30.603,4.618,15.679,2021-06-28 15:43:16
1316756,radialhorizontal,2.934,9.378,6.119,37.282,6.631,19.459,2021-06-28 15:43:16
1316757,radialvertical,3.667,4.045,2.691,20.046,2.86,10.488,2021-06-28 15:43:17
1316758,radialhorizontal,3.347,5.375,3.286,24.57,3.801,12.72,2021-06-28 15:43:17
1316759,bearingradial,4.367,6.03,3.924,36.413,4.264,18.62,2021-06-28 15:43:17
1316764,axialdirection,3.086,1.148,0.238,4.971,0.812,2.505,2021-06-28 15:43:19
1316765,radialvertical,3.402,6.677,3.969,31.021,4.722,16.063,2021-06-28 15:43:19
1316766,radialhorizontal,2.904,9.433,6.103,37.829,6.67,19.371,2021-06-28 15:43:19
1316767,radialvertical,3.538,4.116,2.682,19.876,2.91,10.295,2021-06-28 15:43:19
1316768,radialhorizontal,3.812,5.287,3.278,27.596,3.738,14.249,2021-06-28 15:43:19
1316769,bearingradial,5.701,6.057,3.863,45.111,4.283,24.416,2021-06-28 15:43:19
1316774,axialdirection,2.938,1.13,0.215,4.608,0.799,2.348,2021-06-28 15:43:22
1316775,radialvertical,3.254,6.558,3.997,29.738,4.637,15.087,2021-06-28 15:43:22
1316776,radialhorizontal,2.854,9.401,6.077,37.619,6.647,18.974,2021-06-28 15:43:22
1316777,radialvertical,3.511,4.119,2.714,19.65,2.913,10.225,2021-06-28 15:43:22
1316778,radialhorizontal,3.652,5.161,3.267,26.603,3.649,13.326,2021-06-28 15:43:22
1316779,bearingradial,4.967,6.097,3.986,39.628,4.311,21.414,2021-06-28 15:43:22
1316784,axialdirection,2.915,1.153,0.214,4.661,0.815,2.377,2021-06-28 15:43:24
1316785,radialvertical,3.248,6.591,4.0,29.758,4.66,15.138,2021-06-28 15:43:25
1316786,radialhorizontal,3.194,9.375,6.121,39.051,6.629,21.176,2021-06-28 15:43:25
1316787,radialvertical,3.733,4.11,2.664,21.007,2.906,10.848,2021-06-28 15:43:25
