,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
616668,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:03:53
616669,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:03:53
616674,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:03:55
616675,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:03:55
616676,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:03:56
616677,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:03:56
616678,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:03:56
616679,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:03:56
616684,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:03:58
616685,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:03:58
616686,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:03:58
616687,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:03:58
616688,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:03:58
616689,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:03:58
616694,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:04:01
616695,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:04:01
616696,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:04:01
616697,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:04:01
616698,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:04:01
616699,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:04:01
616704,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:04:04
616705,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:04:04
616706,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:04:04
616707,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:04:04
616708,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:04:04
616709,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:04:04
616714,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:04:06
616715,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:04:06
616716,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:04:06
616717,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:04:07
616718,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:04:07
616719,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:04:07
616724,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:04:09
616725,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:04:09
616726,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:04:09
616727,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:04:09
616728,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:04:09
616729,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:04:09
616734,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 00:04:12
616735,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 00:04:12
616736,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 00:04:12
616737,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 00:04:12
616738,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 00:04:12
616739,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 00:04:12
