,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
433336,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:10
433337,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:11
433338,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:11
433339,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:11
433344,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:13
433345,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:13
433346,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:13
433347,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:13
433348,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:13
433349,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:13
433354,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:16
433355,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:16
433356,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:16
433357,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:16
433358,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:16
433359,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:16
433364,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:18
433365,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:19
433366,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:19
433367,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:19
433368,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:19
433369,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:19
433374,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:21
433375,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:21
433376,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:21
433377,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:21
433378,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:21
433379,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:21
433384,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:24
433385,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:24
433386,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:24
433387,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:24
433388,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:24
433389,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:24
433394,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:27
433395,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:27
433396,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:27
433397,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:27
433398,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:27
433399,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 08:01:27
433404,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 08:01:29
433405,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 08:01:29
433406,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 08:01:29
433407,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 08:01:29
433408,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 08:01:30
