,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1116668,radialhorizontal,4.144,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:38
1116669,bearingradial,4.183,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:38
1116674,axialdirection,3.738,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:40
1116675,radialvertical,3.804,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:40
1116676,radialhorizontal,3.796,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:40
1116677,radialvertical,3.708,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:40
1116678,radialhorizontal,4.144,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:40
1116679,bearingradial,4.183,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:40
1116684,axialdirection,3.738,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:43
1116685,radialvertical,3.804,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:43
1116686,radialhorizontal,3.796,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:43
1116687,radialvertical,3.708,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:43
1116688,radialhorizontal,4.144,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:43
1116689,bearingradial,4.183,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:43
1116694,axialdirection,3.738,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:45
1116695,radialvertical,3.804,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:45
1116696,radialhorizontal,3.796,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:46
1116697,radialvertical,3.708,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:46
1116698,radialhorizontal,4.144,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:46
1116699,bearingradial,4.183,0.001,0.001,0.008,0.001,0.004,2021-06-27 13:50:46
1116704,axialdirection,3.738,0.001,0.001,0.007,0.001,0.004,2021-06-27 13:50:48
