,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1350004,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:03
1350005,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:03
1350006,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:04
1350007,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:04
1350008,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:04
1350009,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:04
1350014,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:06
1350015,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:06
1350016,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:06
1350017,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:06
1350018,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:06
1350019,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:06
1350024,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:09
1350025,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:09
1350026,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:09
1350027,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:09
1350028,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:09
1350029,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:09
1350034,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:12
1350035,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:12
1350036,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:12
1350037,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:12
1350038,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:12
1350039,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:12
1350044,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:14
1350045,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:14
1350046,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:14
1350047,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:14
1350048,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:15
1350049,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:15
1350054,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:17
1350055,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:17
1350056,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:17
1350057,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:17
1350058,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:17
1350059,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:17
1350064,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:20
1350065,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:20
1350066,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:20
1350067,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:20
1350068,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:20
1350069,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:20
1350074,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:22
1350075,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:23
1350076,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:23
1350077,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:23
1350078,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:23
1350079,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:23
1350084,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 18:15:25
1350085,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 18:15:25
1350086,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 18:15:25
1350087,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 18:15:25
1350088,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 18:15:25
1350089,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 18:15:26
