,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
533336,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:22
533337,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:22
533338,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:22
533339,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:22
533344,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:24
533345,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:25
533346,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:25
533347,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:25
533348,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:25
533349,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:25
533354,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:27
533355,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:27
533356,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:27
533357,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:27
533358,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:27
533359,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:28
533364,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:30
533365,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:30
533366,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:30
533367,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:30
533368,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:30
533369,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:30
533374,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:33
533375,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:33
533376,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:33
533377,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:33
533378,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:33
533379,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:33
533384,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:35
533385,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:35
533386,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:36
533387,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:36
533388,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:36
533389,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:36
533394,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:38
533395,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:38
533396,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:38
533397,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:38
533398,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:38
533399,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:38
533404,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:41
533405,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:41
533406,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:41
533407,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:41
533408,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:41
533409,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:41
533414,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:44
533415,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:44
533416,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:44
533417,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:44
533418,radialhorizontal,3.621,0.661,0.455,3.203,0.467,1.692,2021-06-25 17:45:44
533419,bearingradial,4.429,0.549,0.288,3.239,0.388,1.721,2021-06-25 17:45:44
533424,axialdirection,2.813,0.251,0.031,0.992,0.178,0.5,2021-06-25 17:45:46
533425,radialvertical,4.638,0.477,0.226,3.009,0.338,1.566,2021-06-25 17:45:46
533426,radialhorizontal,4.353,0.461,0.217,2.799,0.326,1.42,2021-06-25 17:45:46
533427,radialvertical,4.442,0.279,0.16,1.693,0.197,0.875,2021-06-25 17:45:47
