,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
116668,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:08:50
116669,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:08:51
116674,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:08:53
116675,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:08:53
116676,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:08:53
116677,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:08:53
116678,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:08:53
116679,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:08:53
116684,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:08:56
116685,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:08:56
116686,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:08:56
116687,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:08:56
116688,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:08:56
116689,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:08:56
116694,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:08:58
116695,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:08:58
116696,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:08:58
116697,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:08:59
116698,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:08:59
116699,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:08:59
116704,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:01
116705,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:01
116706,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:01
116707,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:01
116708,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:01
116709,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:01
116714,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:04
116715,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:04
116716,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:04
116717,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:04
116718,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:04
116719,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:04
116724,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:06
116725,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:07
116726,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:07
116727,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:07
116728,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:07
116729,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:07
116734,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:09
116735,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:09
116736,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:09
116737,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:09
116738,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:09
116739,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:10
116744,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:12
116745,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:12
116746,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:12
116747,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:12
116748,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:12
116749,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:12
116754,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:15
116755,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:15
116756,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:15
116757,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 03:09:15
116758,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 03:09:15
116759,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 03:09:15
116764,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 03:09:17
116765,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 03:09:17
116766,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 03:09:17
