,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
350004,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:43:53
350005,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:43:53
350006,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:43:53
350007,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:43:53
350008,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:43:53
350009,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:43:53
350014,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:43:55
350015,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:43:55
350016,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:43:55
350017,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:43:56
350018,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:43:56
350019,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:43:56
350024,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:43:58
350025,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:43:58
350026,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:43:58
350027,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:43:58
350028,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:43:58
350029,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:43:58
350034,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:44:01
350035,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:44:01
350036,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:44:01
350037,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:44:01
350038,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:44:01
350039,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:44:01
350044,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:44:04
350045,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:44:04
350046,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:44:04
350047,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:44:04
350048,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:44:04
350049,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:44:04
350054,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:44:06
350055,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 01:44:06
350056,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 01:44:06
350057,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 01:44:06
350058,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 01:44:07
350059,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 01:44:07
350064,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 01:44:09
