,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1683336,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:04
1683337,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:04
1683338,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:04
1683339,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:04
1683344,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683345,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683346,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683347,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683348,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683349,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:07
1683354,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:09
1683355,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:10
1683356,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:10
1683357,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:10
1683358,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:10
1683359,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:10
1683364,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:12
1683365,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:12
1683366,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:12
1683367,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:12
1683368,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:12
1683369,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:13
1683374,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683375,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683376,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683377,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683378,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683379,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:15
1683384,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683385,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683386,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683387,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683388,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683389,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:18
1683394,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:20
1683395,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:20
1683396,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:21
1683397,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:21
1683398,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:21
1683399,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:21
1683404,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683405,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683406,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683407,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683408,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683409,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:23
1683414,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683415,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683416,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683417,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683418,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683419,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:26
1683424,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683425,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683426,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683427,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683428,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683429,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:29
1683434,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:31
1683435,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:31
1683436,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:31
1683437,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:32
1683438,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:32
1683439,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:32
1683444,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683445,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683446,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683447,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683448,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683449,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:34
1683454,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683455,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683456,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683457,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683458,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683459,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:37
1683464,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683465,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683466,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683467,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683468,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683469,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:40
1683474,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:42
1683475,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:42
1683476,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:42
1683477,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:42
1683478,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:43
1683479,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:43
1683484,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683485,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683486,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683487,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683488,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683489,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:45
1683494,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683495,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683496,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683497,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683498,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683499,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:48
1683504,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:50
1683505,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:50
1683506,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:51
1683507,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:51
1683508,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:51
1683509,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:51
1683514,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683515,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683516,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683517,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683518,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683519,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:53
1683524,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683525,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683526,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683527,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683528,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683529,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:56
1683534,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683535,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683536,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683537,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683538,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683539,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:27:59
1683544,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:28:01
1683545,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:28:01
1683546,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:28:01
1683547,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:28:02
1683548,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-29 19:28:02
