,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
233336,radialhorizontal,4.521,0.425,0.219,2.523,0.301,1.36,2021-06-24 11:57:04
233337,radialvertical,4.081,0.267,0.156,1.517,0.188,0.769,2021-06-24 11:57:04
233338,radialhorizontal,3.745,0.59,0.399,3.042,0.417,1.562,2021-06-24 11:57:04
233339,bearingradial,4.059,0.516,0.27,2.91,0.365,1.481,2021-06-24 11:57:04
233344,axialdirection,3.174,0.19,0.032,0.815,0.134,0.427,2021-06-24 11:57:06
233345,radialvertical,3.736,0.448,0.236,2.29,0.317,1.185,2021-06-24 11:57:07
233346,radialhorizontal,4.631,0.434,0.222,2.812,0.307,1.421,2021-06-24 11:57:07
233347,radialvertical,3.665,0.267,0.156,1.381,0.189,0.693,2021-06-24 11:57:07
233348,radialhorizontal,3.601,0.589,0.402,2.946,0.417,1.5,2021-06-24 11:57:07
233349,bearingradial,4.303,0.516,0.266,3.13,0.365,1.57,2021-06-24 11:57:07
233354,axialdirection,2.755,0.191,0.031,0.739,0.135,0.373,2021-06-24 11:57:09
233355,radialvertical,4.397,0.454,0.235,2.661,0.321,1.411,2021-06-24 11:57:09
233356,radialhorizontal,3.992,0.427,0.209,2.334,0.302,1.206,2021-06-24 11:57:09
233357,radialvertical,3.869,0.264,0.15,1.392,0.187,0.723,2021-06-24 11:57:09
233358,radialhorizontal,3.446,0.576,0.384,2.736,0.407,1.404,2021-06-24 11:57:09
233359,bearingradial,4.133,0.53,0.278,2.891,0.374,1.548,2021-06-24 11:57:10
233364,axialdirection,2.755,0.191,0.031,0.739,0.135,0.373,2021-06-24 11:57:12
233365,radialvertical,4.397,0.454,0.235,2.661,0.321,1.411,2021-06-24 11:57:12
233366,radialhorizontal,3.992,0.427,0.209,2.334,0.302,1.206,2021-06-24 11:57:12
233367,radialvertical,3.869,0.264,0.15,1.392,0.187,0.723,2021-06-24 11:57:12
