,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1366668,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:30:47
1366669,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:30:47
1366674,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:30:49
1366675,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:30:49
1366676,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:30:49
1366677,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:30:50
1366678,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:30:50
1366679,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:30:50
1366684,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:30:52
1366685,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:30:52
1366686,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:30:52
1366687,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:30:52
1366688,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:30:52
1366689,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:30:52
1366694,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:30:55
1366695,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:30:55
1366696,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:30:55
1366697,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:30:55
1366698,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:30:55
1366699,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:30:55
1366704,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:30:57
1366705,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:30:58
1366706,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:30:58
1366707,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:30:58
1366708,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:30:58
1366709,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:30:58
1366714,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:31:00
1366715,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:31:00
1366716,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:31:00
1366717,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:31:00
1366718,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:31:00
1366719,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:31:01
1366724,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:31:03
1366725,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:31:03
1366726,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:31:03
1366727,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:31:03
1366728,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:31:03
1366729,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:31:03
1366734,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:31:06
1366735,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:31:06
1366736,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:31:06
1366737,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:31:06
1366738,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:31:06
1366739,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:31:06
1366744,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:31:08
1366745,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:31:08
1366746,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:31:08
1366747,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-28 19:31:09
1366748,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-28 19:31:09
1366749,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-28 19:31:09
1366754,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-28 19:31:11
1366755,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-28 19:31:11
1366756,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-28 19:31:11
