,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
950004,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:44
950005,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:44
950006,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:45
950007,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:45
950008,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:45
950009,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:45
950014,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:47
950015,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:47
950016,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:47
950017,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:47
950018,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:47
950019,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:48
950024,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:50
950025,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:50
950026,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:50
950027,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:50
950028,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:50
950029,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:50
950034,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:53
950035,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:53
950036,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:53
950037,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:53
950038,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:53
950039,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:53
950044,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:55
950045,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:55
950046,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:55
950047,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:56
950048,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:56
950049,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:56
950054,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:58
950055,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:15:58
950056,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:58
950057,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:15:58
950058,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:15:58
950059,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:15:58
950064,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:01
950065,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:01
950066,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:01
950067,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:01
950068,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:01
950069,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:01
950074,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:04
950075,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:04
950076,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:04
950077,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:04
950078,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:04
950079,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:04
950084,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:06
950085,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:06
950086,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:06
950087,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:06
950088,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:07
950089,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:07
950094,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:09
950095,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:09
950096,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:09
950097,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:09
950098,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:09
950099,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:09
950104,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:12
950105,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:12
950106,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:12
950107,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:12
950108,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:12
950109,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:12
950114,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:14
950115,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:14
950116,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:15
950117,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:15
950118,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:15
950119,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:15
950124,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:17
950125,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:17
950126,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:17
950127,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:17
950128,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:17
950129,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:17
950134,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:20
950135,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:20
950136,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:20
950137,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:20
950138,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:20
950139,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:20
950144,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:23
950145,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:23
950146,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:23
950147,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:23
950148,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:23
950149,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:23
950154,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:25
950155,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:25
950156,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:25
950157,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:25
950158,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:26
950159,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:26
950164,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:28
950165,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:28
950166,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:28
950167,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:28
950168,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:28
950169,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:28
950174,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:31
950175,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:31
950176,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:31
950177,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:31
950178,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:31
950179,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:31
950184,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:33
950185,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:34
950186,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:34
950187,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:34
950188,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:34
950189,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:34
950194,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:36
950195,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:36
950196,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:36
950197,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:36
950198,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:36
950199,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:37
950204,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:39
950205,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:39
950206,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:39
950207,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:39
950208,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:39
950209,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:39
950214,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:42
950215,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:42
950216,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:42
950217,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:42
950218,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:42
950219,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:42
950224,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:44
950225,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:44
950226,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:45
950227,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:45
950228,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:45
950229,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:45
950234,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:47
950235,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:47
950236,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:47
950237,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:47
950238,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:47
950239,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:48
950244,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:50
950245,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:50
950246,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:50
950247,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:50
950248,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:50
950249,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:50
950254,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:53
950255,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:53
950256,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:53
950257,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:53
950258,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:53
950259,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:53
950264,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:55
950265,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 01:16:55
950266,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:55
950267,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:56
950268,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 01:16:56
950269,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 01:16:56
950274,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 01:16:58
