,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
916668,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:10
916669,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:10
916674,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:12
916675,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:13
916676,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:13
916677,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:13
916678,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:13
916679,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:13
916684,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:15
916685,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:15
916686,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:15
916687,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:15
916688,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:15
916689,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:16
916694,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:18
916695,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:18
916696,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:18
916697,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:18
916698,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:18
916699,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:18
916704,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:21
916705,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:21
916706,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:21
916707,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:21
916708,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:21
916709,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:21
916714,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:23
916715,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:23
916716,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:23
916717,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:24
916718,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:24
916719,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:24
916724,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:26
916725,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:26
916726,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:26
916727,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:26
916728,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:26
916729,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:26
916734,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:29
916735,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:29
916736,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:29
916737,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:29
916738,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:29
916739,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:29
916744,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:32
916745,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:32
916746,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:32
916747,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:32
916748,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:32
916749,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:32
916754,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:34
916755,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:34
916756,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:34
916757,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:34
916758,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:35
916759,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:35
916764,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:37
916765,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:37
916766,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:37
916767,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:37
916768,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:37
916769,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:37
916774,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:40
916775,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:40
916776,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:40
916777,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:40
916778,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:40
916779,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:40
916784,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:42
916785,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-26 22:44:43
916786,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:43
916787,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:43
916788,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 22:44:43
916789,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 22:44:43
916794,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-26 22:44:45
