,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1466668,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:01
1466669,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:01
1466674,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:03
1466675,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:04
1466676,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:04
1466677,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:04
1466678,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:04
1466679,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:04
1466684,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:06
1466685,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:06
1466686,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:06
1466687,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:06
1466688,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:06
1466689,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:06
1466694,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:09
1466695,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:09
1466696,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:09
1466697,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:09
1466698,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:09
1466699,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:09
1466704,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:12
1466705,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:12
1466706,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:12
1466707,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:12
1466708,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:12
1466709,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:12
1466714,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:14
1466715,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:14
1466716,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:15
1466717,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:15
1466718,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:15
1466719,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:15
1466724,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:17
1466725,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:17
1466726,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:17
1466727,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:17
1466728,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:17
1466729,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:17
1466734,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:20
1466735,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:20
1466736,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:20
1466737,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:20
1466738,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:20
1466739,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:20
1466744,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:23
1466745,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:23
1466746,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:23
1466747,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:23
1466748,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:23
1466749,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:23
1466754,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:25
1466755,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:25
1466756,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:25
1466757,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:25
1466758,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:25
1466759,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:26
1466764,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:28
1466765,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:28
1466766,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:28
1466767,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:28
1466768,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:28
1466769,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:28
1466774,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:31
1466775,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:31
1466776,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:31
1466777,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:31
1466778,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:31
1466779,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:31
1466784,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:33
1466785,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:33
1466786,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:33
1466787,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:34
1466788,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:34
1466789,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:34
1466794,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:36
1466795,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:36
1466796,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:36
1466797,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:36
1466798,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:36
1466799,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:36
1466804,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:39
1466805,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:39
1466806,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:39
1466807,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:39
1466808,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:39
1466809,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:39
1466814,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:41
1466815,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:42
1466816,radialhorizontal,3.061,9.183,5.997,37.854,6.493,19.879,2021-06-29 03:04:42
1466817,radialvertical,3.935,3.973,2.654,20.277,2.809,11.054,2021-06-29 03:04:42
1466818,radialhorizontal,3.916,5.05,3.338,26.384,3.571,13.982,2021-06-29 03:04:42
1466819,bearingradial,5.04,5.944,4.045,40.246,4.203,21.18,2021-06-29 03:04:42
1466824,axialdirection,3.347,0.998,0.209,4.501,0.705,2.361,2021-06-29 03:04:44
1466825,radialvertical,3.407,6.41,3.898,29.592,4.532,15.441,2021-06-29 03:04:44
