,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
16668,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:20:21
16669,bearingradial,5.254,0.144,0.083,1.018,0.102,0.535,2021-06-23 10:20:22
16674,axialdirection,2.895,0.145,0.009,0.581,0.102,0.296,2021-06-23 10:21:23
16675,radialvertical,4.017,0.081,0.033,0.458,0.058,0.231,2021-06-23 10:21:23
16676,radialhorizontal,5.183,0.078,0.038,0.57,0.055,0.286,2021-06-23 10:21:23
16677,radialvertical,4.449,0.058,0.032,0.323,0.041,0.182,2021-06-23 10:21:23
16678,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:21:23
16679,bearingradial,5.254,0.144,0.083,1.018,0.102,0.535,2021-06-23 10:21:23
16684,axialdirection,2.895,0.145,0.009,0.581,0.102,0.296,2021-06-23 10:22:24
16685,radialvertical,4.017,0.081,0.033,0.458,0.058,0.231,2021-06-23 10:22:24
16686,radialhorizontal,5.183,0.078,0.038,0.57,0.055,0.286,2021-06-23 10:22:24
16687,radialvertical,4.449,0.058,0.032,0.323,0.041,0.182,2021-06-23 10:22:24
16688,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:22:25
16689,bearingradial,5.254,0.144,0.083,1.018,0.102,0.535,2021-06-23 10:22:25
16694,axialdirection,2.895,0.145,0.009,0.581,0.102,0.296,2021-06-23 10:23:26
16695,radialvertical,4.017,0.081,0.033,0.458,0.058,0.231,2021-06-23 10:23:26
16696,radialhorizontal,5.183,0.078,0.038,0.57,0.055,0.286,2021-06-23 10:23:26
16697,radialvertical,4.449,0.058,0.032,0.323,0.041,0.182,2021-06-23 10:23:26
16698,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:23:26
16699,bearingradial,5.254,0.144,0.083,1.018,0.102,0.535,2021-06-23 10:23:26
16704,axialdirection,2.895,0.145,0.009,0.581,0.102,0.296,2021-06-23 10:24:27
16705,radialvertical,4.017,0.081,0.033,0.458,0.058,0.231,2021-06-23 10:24:27
16706,radialhorizontal,5.183,0.078,0.038,0.57,0.055,0.286,2021-06-23 10:24:27
16707,radialvertical,4.449,0.058,0.032,0.323,0.041,0.182,2021-06-23 10:24:27
16708,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:24:28
16709,bearingradial,5.254,0.144,0.083,1.018,0.102,0.535,2021-06-23 10:24:28
16714,axialdirection,2.895,0.145,0.009,0.581,0.102,0.296,2021-06-23 10:25:29
16715,radialvertical,4.017,0.081,0.033,0.458,0.058,0.231,2021-06-23 10:25:29
16716,radialhorizontal,5.183,0.078,0.038,0.57,0.055,0.286,2021-06-23 10:25:29
16717,radialvertical,4.449,0.058,0.032,0.323,0.041,0.182,2021-06-23 10:25:29
16718,radialhorizontal,4.682,0.086,0.058,0.531,0.061,0.284,2021-06-23 10:25:29
