,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
250004,axialdirection,3.087,0.201,0.031,0.81,0.142,0.438,2021-06-24 13:12:39
250005,radialvertical,3.838,0.456,0.221,2.388,0.322,1.238,2021-06-24 13:12:39
250006,radialhorizontal,4.709,0.429,0.216,2.707,0.303,1.429,2021-06-24 13:12:39
250007,radialvertical,3.662,0.257,0.152,1.331,0.182,0.666,2021-06-24 13:12:39
250008,radialhorizontal,3.676,0.577,0.398,2.944,0.408,1.5,2021-06-24 13:12:39
250009,bearingradial,5.529,0.532,0.292,3.952,0.376,2.078,2021-06-24 13:12:39
250014,axialdirection,2.984,0.202,0.035,0.841,0.143,0.426,2021-06-24 13:12:42
250015,radialvertical,3.845,0.468,0.239,2.522,0.331,1.272,2021-06-24 13:12:42
250016,radialhorizontal,4.087,0.426,0.217,2.342,0.301,1.232,2021-06-24 13:12:42
250017,radialvertical,4.37,0.267,0.162,1.632,0.189,0.824,2021-06-24 13:12:42
250018,radialhorizontal,3.67,0.599,0.399,2.741,0.419,1.408,2021-06-24 13:12:42
250019,bearingradial,4.318,0.525,0.279,2.938,0.371,1.602,2021-06-24 13:12:42
250024,axialdirection,3.174,0.212,0.031,0.898,0.15,0.476,2021-06-24 13:12:44
250025,radialvertical,4.108,0.465,0.227,2.487,0.33,1.35,2021-06-24 13:12:45
250026,radialhorizontal,3.687,0.425,0.215,2.209,0.301,1.108,2021-06-24 13:12:45
250027,radialvertical,4.885,0.271,0.158,1.706,0.192,0.936,2021-06-24 13:12:45
250028,radialhorizontal,3.615,0.603,0.409,3.045,0.427,1.542,2021-06-24 13:12:45
250029,bearingradial,4.465,0.529,0.279,3.085,0.374,1.671,2021-06-24 13:12:45
250034,axialdirection,2.799,0.204,0.029,0.788,0.145,0.405,2021-06-24 13:12:47
250035,radialvertical,3.644,0.463,0.225,2.359,0.327,1.193,2021-06-24 13:12:47
250036,radialhorizontal,3.768,0.423,0.209,2.192,0.299,1.126,2021-06-24 13:12:47
250037,radialvertical,4.039,0.264,0.155,1.404,0.187,0.754,2021-06-24 13:12:47
250038,radialhorizontal,3.753,0.599,0.404,2.615,0.415,1.378,2021-06-24 13:12:47
250039,bearingradial,4.813,0.533,0.283,3.4,0.377,1.816,2021-06-24 13:12:48
