,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
516668,radialhorizontal,3.275,0.653,0.442,2.885,0.462,1.512,2021-06-25 14:17:53
516669,bearingradial,5.675,0.552,0.297,3.79,0.39,2.214,2021-06-25 14:17:53
516674,axialdirection,2.679,0.248,0.034,0.911,0.175,0.47,2021-06-25 14:17:56
516675,radialvertical,4.131,0.481,0.234,2.681,0.34,1.404,2021-06-25 14:17:56
516676,radialhorizontal,3.887,0.465,0.224,2.452,0.329,1.278,2021-06-25 14:17:56
516677,radialvertical,4.137,0.279,0.166,1.575,0.198,0.817,2021-06-25 14:17:56
516678,radialhorizontal,3.144,0.66,0.455,2.893,0.467,1.468,2021-06-25 14:17:56
516679,bearingradial,5.255,0.567,0.311,4.188,0.401,2.108,2021-06-25 14:17:56
516684,axialdirection,2.643,0.256,0.032,0.948,0.181,0.478,2021-06-25 14:17:58
516685,radialvertical,4.111,0.487,0.229,2.794,0.344,1.415,2021-06-25 14:17:59
516686,radialhorizontal,4.872,0.472,0.221,3.09,0.334,1.627,2021-06-25 14:17:59
516687,radialvertical,3.804,0.281,0.163,1.502,0.199,0.757,2021-06-25 14:17:59
516688,radialhorizontal,3.409,0.647,0.441,2.972,0.458,1.56,2021-06-25 14:17:59
516689,bearingradial,4.914,0.547,0.315,3.497,0.387,1.902,2021-06-25 14:17:59
516694,axialdirection,2.714,0.249,0.034,0.919,0.176,0.478,2021-06-25 14:18:01
516695,radialvertical,4.01,0.482,0.228,2.66,0.341,1.365,2021-06-25 14:18:01
516696,radialhorizontal,4.17,0.464,0.222,2.685,0.328,1.367,2021-06-25 14:18:01
516697,radialvertical,3.961,0.28,0.166,1.49,0.198,0.784,2021-06-25 14:18:01
516698,radialhorizontal,3.849,0.64,0.431,3.41,0.453,1.742,2021-06-25 14:18:01
516699,bearingradial,5.451,0.551,0.295,4.014,0.39,2.125,2021-06-25 14:18:02
516704,axialdirection,2.858,0.26,0.035,1.038,0.184,0.525,2021-06-25 14:18:04
516705,radialvertical,4.085,0.485,0.223,2.742,0.343,1.401,2021-06-25 14:18:04
516706,radialhorizontal,4.583,0.477,0.223,2.972,0.337,1.546,2021-06-25 14:18:04
516707,radialvertical,4.352,0.272,0.161,1.59,0.192,0.836,2021-06-25 14:18:04
516708,radialhorizontal,3.136,0.652,0.45,2.841,0.461,1.447,2021-06-25 14:18:04
516709,bearingradial,3.879,0.558,0.296,3.055,0.395,1.531,2021-06-25 14:18:04
516714,axialdirection,2.446,0.261,0.033,0.896,0.184,0.451,2021-06-25 14:18:07
516715,radialvertical,4.037,0.477,0.226,2.643,0.338,1.363,2021-06-25 14:18:07
516716,radialhorizontal,4.158,0.466,0.22,2.667,0.33,1.371,2021-06-25 14:18:07
516717,radialvertical,4.568,0.281,0.162,1.666,0.199,0.907,2021-06-25 14:18:07
516718,radialhorizontal,3.146,0.633,0.43,2.706,0.448,1.408,2021-06-25 14:18:07
516719,bearingradial,4.852,0.544,0.298,3.72,0.384,1.865,2021-06-25 14:18:07
516724,axialdirection,2.774,0.255,0.033,0.97,0.18,0.5,2021-06-25 14:18:09
