,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
1850004,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850005,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850006,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850007,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850008,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850009,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:54
1850014,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:56
1850015,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:56
1850016,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:57
1850017,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:57
1850018,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:57
1850019,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:57
1850024,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850025,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850026,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850027,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850028,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850029,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:02:59
1850034,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850035,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850036,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850037,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850038,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850039,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:02
1850044,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850045,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850046,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850047,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850048,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850049,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:05
1850054,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:07
1850055,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:07
1850056,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:07
1850057,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:07
1850058,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:08
1850059,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:08
1850064,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850065,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850066,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850067,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850068,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850069,bearingradial,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:10
1850074,axialdirection,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:13
1850075,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:13
1850076,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:13
1850077,radialvertical,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:13
1850078,radialhorizontal,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-30 08:03:13
