,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
2216668,radialhorizontal,3.758,0.522,0.347,2.592,0.369,1.386,2021-07-01 11:41:39
2216669,bearingradial,3.702,0.426,0.19,2.205,0.301,1.114,2021-07-01 11:41:39
2216674,axialdirection,3.079,0.221,0.038,0.955,0.157,0.482,2021-07-01 11:41:41
2216675,radialvertical,3.587,0.534,0.231,2.61,0.378,1.356,2021-07-01 11:41:41
2216676,radialhorizontal,3.734,0.496,0.248,2.524,0.351,1.31,2021-07-01 11:41:42
2216677,radialvertical,3.824,0.439,0.279,2.268,0.31,1.187,2021-07-01 11:41:42
2216678,radialhorizontal,3.664,0.532,0.346,2.591,0.376,1.377,2021-07-01 11:41:42
2216679,bearingradial,5.451,0.442,0.195,3.188,0.313,1.704,2021-07-01 11:41:42
2216684,axialdirection,3.718,0.222,0.036,1.111,0.157,0.583,2021-07-01 11:41:44
2216685,radialvertical,3.593,0.537,0.233,2.725,0.379,1.364,2021-07-01 11:41:44
2216686,radialhorizontal,3.914,0.488,0.238,2.494,0.345,1.352,2021-07-01 11:41:44
2216687,radialvertical,4.351,0.449,0.282,2.659,0.317,1.381,2021-07-01 11:41:44
2216688,radialhorizontal,3.664,0.529,0.352,2.658,0.374,1.371,2021-07-01 11:41:44
2216689,bearingradial,4.322,0.427,0.194,2.58,0.302,1.306,2021-07-01 11:41:44
2216694,axialdirection,3.735,0.218,0.035,1.037,0.154,0.575,2021-07-01 11:41:47
2216695,radialvertical,3.992,0.538,0.232,2.992,0.381,1.52,2021-07-01 11:41:47
2216696,radialhorizontal,3.912,0.494,0.24,2.529,0.349,1.365,2021-07-01 11:41:47
2216697,radialvertical,4.471,0.439,0.283,2.515,0.31,1.387,2021-07-01 11:41:47
2216698,radialhorizontal,4.064,0.516,0.345,2.703,0.365,1.482,2021-07-01 11:41:47
2216699,bearingradial,5.352,0.437,0.185,2.955,0.309,1.654,2021-07-01 11:41:47
2216704,axialdirection,3.297,0.22,0.039,0.992,0.155,0.512,2021-07-01 11:41:50
2216705,radialvertical,3.93,0.543,0.242,2.962,0.384,1.508,2021-07-01 11:41:50
