,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
633336,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 01:19:39
633337,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 01:19:40
633338,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 01:19:40
633339,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 01:19:40
633344,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 01:19:42
633345,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 01:19:42
633346,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 01:19:42
633347,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 01:19:42
633348,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 01:19:42
633349,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 01:19:42
633354,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 01:19:45
633355,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 01:19:45
633356,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 01:19:45
633357,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 01:19:45
633358,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 01:19:45
633359,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 01:19:45
633364,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 01:19:48
633365,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 01:19:48
633366,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 01:19:48
633367,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 01:19:48
633368,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 01:19:48
