,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
366767,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:49
366768,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:49
366769,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:49
366774,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:51
366775,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:51
366776,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:51
366777,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:51
366778,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:51
366779,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:52
366784,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:54
366785,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:54
366786,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:54
366787,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:54
366788,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:54
366789,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:54
366794,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:57
366795,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:57
366796,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:57
366797,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 02:59:57
366798,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 02:59:57
366799,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 02:59:57
366804,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 02:59:59
366805,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 02:59:59
366806,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 02:59:59
366807,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:00
366808,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:00
366809,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:00
366814,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:02
366815,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:02
366816,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:02
366817,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:02
366818,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:02
366819,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:02
366824,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:05
366825,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:05
366826,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:05
366827,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:05
366828,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:05
366829,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:05
366834,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:07
366835,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:08
366836,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:08
366837,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:08
366838,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:08
366839,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:08
366844,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:10
366845,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:10
366846,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:10
366847,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:10
366848,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:10
366849,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:11
366854,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:13
366855,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:13
366856,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:13
366857,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:13
366858,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:13
366859,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:13
366864,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:16
366865,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:16
366866,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:16
366867,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:16
366868,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:16
366869,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:16
366874,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:18
366875,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:18
366876,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:18
366877,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:19
366878,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:19
366879,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:19
366884,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:21
366885,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:21
366886,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:21
366887,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:21
366888,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:21
366889,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:21
366894,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:24
366895,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:24
366896,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:24
366897,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:24
366898,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:24
366899,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:24
366904,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:27
366905,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:27
366906,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:27
366907,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:27
366908,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:27
366909,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:27
366914,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:29
366915,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:29
366916,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:29
366917,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:29
366918,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:30
366919,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:30
366924,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:32
366925,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:32
366926,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:32
366927,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:32
366928,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:32
366929,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:32
366934,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:35
366935,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:35
366936,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 03:00:35
366937,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 03:00:35
366938,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 03:00:35
366939,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 03:00:35
366944,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 03:00:37
366945,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 03:00:37
