,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
450004,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:11
450005,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:11
450006,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:12
450007,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:12
450008,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:12
450009,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:12
450014,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:14
450015,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:14
450016,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:14
450017,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:14
450018,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:14
450019,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:14
450024,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:17
450025,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:17
450026,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:17
450027,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:17
450028,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:17
450029,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:17
450034,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:19
450035,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:19
450036,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:19
450037,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:20
450038,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:20
450039,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:20
450044,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:22
450045,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:22
450046,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:22
450047,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:22
450048,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:22
450049,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:22
450054,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:25
450055,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:25
450056,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:25
450057,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:25
450058,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:25
450059,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:25
450064,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:27
450065,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:28
450066,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:28
450067,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:28
450068,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:28
450069,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:28
450074,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:30
450075,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:30
450076,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:30
450077,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:30
450078,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:30
450079,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:30
450084,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:33
450085,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:33
450086,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:33
450087,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:33
450088,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:33
450089,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:33
450094,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:35
450095,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:36
450096,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:36
450097,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:36
450098,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:36
450099,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:36
450104,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:38
450105,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:38
450106,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:38
450107,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:38
450108,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:38
450109,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:38
450114,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:41
450115,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:41
450116,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:41
450117,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:41
450118,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:41
450119,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:41
450124,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:44
450125,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:44
450126,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:44
450127,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:44
450128,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:44
450129,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:44
450134,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:46
450135,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:46
450136,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:46
450137,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:46
450138,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:46
450139,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:47
450144,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:49
450145,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:49
450146,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:49
450147,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:49
450148,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:49
450149,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:49
450154,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:52
450155,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:52
450156,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:52
450157,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:52
450158,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:52
450159,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:52
450164,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:54
450165,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:54
450166,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:54
450167,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:54
450168,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:54
450169,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:55
450174,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:16:57
450175,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:16:57
450176,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:16:57
450177,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:16:57
450178,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:16:57
450179,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:16:57
450184,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:17:00
450185,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 09:17:00
450186,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 09:17:00
450187,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 09:17:00
450188,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 09:17:00
450189,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 09:17:00
450194,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 09:17:02
