,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
483336,radialhorizontal,4.527,0.464,0.228,2.893,0.328,1.484,2021-06-25 11:46:27
483337,radialvertical,3.9,0.286,0.163,1.559,0.201,0.788,2021-06-25 11:46:27
483338,radialhorizontal,3.229,0.703,0.484,3.209,0.497,1.605,2021-06-25 11:46:27
483339,bearingradial,4.693,0.557,0.307,3.438,0.394,1.848,2021-06-25 11:46:27
483344,axialdirection,2.775,0.198,0.031,0.764,0.14,0.388,2021-06-25 11:46:30
483345,radialvertical,4.252,0.472,0.242,2.607,0.334,1.418,2021-06-25 11:46:30
483346,radialhorizontal,4.076,0.475,0.223,2.647,0.336,1.37,2021-06-25 11:46:30
483347,radialvertical,4.18,0.292,0.171,1.72,0.207,0.864,2021-06-25 11:46:30
483348,radialhorizontal,3.372,0.708,0.493,3.273,0.501,1.689,2021-06-25 11:46:30
483349,bearingradial,4.42,0.56,0.304,3.4,0.396,1.751,2021-06-25 11:46:30
483354,axialdirection,2.972,0.201,0.032,0.823,0.142,0.421,2021-06-25 11:46:33
483355,radialvertical,4.151,0.447,0.225,2.52,0.324,1.312,2021-06-25 11:46:33
483356,radialhorizontal,4.572,0.477,0.214,2.846,0.318,1.69,2021-06-25 11:46:33
483357,radialvertical,4.358,0.287,0.166,1.705,0.203,0.885,2021-06-25 11:46:33
483358,radialhorizontal,3.348,0.723,0.496,3.337,0.511,1.712,2021-06-25 11:46:33
483359,bearingradial,3.954,0.556,0.303,3.021,0.393,1.554,2021-06-25 11:46:33
483364,axialdirection,3.339,0.192,0.035,0.828,0.136,0.453,2021-06-25 11:46:35
483365,radialvertical,3.626,0.45,0.228,2.261,0.319,1.155,2021-06-25 11:46:35
483366,radialhorizontal,4.713,0.46,0.225,2.642,0.326,1.534,2021-06-25 11:46:35
483367,radialvertical,4.561,0.276,0.16,1.701,0.195,0.89,2021-06-25 11:46:35
483368,radialhorizontal,3.671,0.703,0.489,3.574,0.497,1.825,2021-06-25 11:46:35
483369,bearingradial,4.904,0.556,0.302,3.504,0.393,1.928,2021-06-25 11:46:36
483374,axialdirection,3.339,0.192,0.035,0.828,0.136,0.453,2021-06-25 11:46:38
483375,radialvertical,3.626,0.45,0.228,2.261,0.319,1.155,2021-06-25 11:46:38
483376,radialhorizontal,4.713,0.46,0.225,2.642,0.326,1.534,2021-06-25 11:46:38
483377,radialvertical,4.561,0.276,0.16,1.701,0.195,0.89,2021-06-25 11:46:38
483378,radialhorizontal,3.671,0.703,0.489,3.574,0.497,1.825,2021-06-25 11:46:38
483379,bearingradial,4.904,0.556,0.302,3.504,0.393,1.928,2021-06-25 11:46:38
483384,axialdirection,2.882,0.199,0.035,0.809,0.141,0.406,2021-06-25 11:46:41
483385,radialvertical,4.518,0.457,0.233,2.745,0.323,1.459,2021-06-25 11:46:41
483386,radialhorizontal,4.369,0.472,0.219,2.79,0.334,1.459,2021-06-25 11:46:41
483387,radialvertical,3.644,0.286,0.174,1.47,0.202,0.737,2021-06-25 11:46:41
483388,radialhorizontal,3.203,0.711,0.489,3.161,0.503,1.611,2021-06-25 11:46:41
483389,bearingradial,4.968,0.559,0.305,3.539,0.396,1.965,2021-06-25 11:46:41
483394,axialdirection,3.115,0.196,0.035,0.802,0.138,0.431,2021-06-25 11:46:43
483395,radialvertical,4.349,0.454,0.239,2.65,0.321,1.397,2021-06-25 11:46:43
483396,radialhorizontal,4.186,0.459,0.231,2.56,0.325,1.36,2021-06-25 11:46:43
483397,radialvertical,4.719,0.284,0.167,1.77,0.201,0.948,2021-06-25 11:46:44
483398,radialhorizontal,3.17,0.7,0.476,3.118,0.495,1.568,2021-06-25 11:46:44
483399,bearingradial,4.968,0.559,0.305,3.539,0.396,1.965,2021-06-25 11:46:44
483404,axialdirection,2.997,0.2,0.034,0.846,0.141,0.423,2021-06-25 11:46:46
483405,radialvertical,4.391,0.462,0.236,2.85,0.327,1.435,2021-06-25 11:46:46
483406,radialhorizontal,4.327,0.48,0.231,2.875,0.339,1.468,2021-06-25 11:46:46
483407,radialvertical,4.796,0.281,0.159,1.758,0.199,0.954,2021-06-25 11:46:46
483408,radialhorizontal,3.445,0.712,0.485,3.373,0.504,1.735,2021-06-25 11:46:46
483409,bearingradial,5.153,0.555,0.299,3.732,0.393,2.024,2021-06-25 11:46:46
483414,axialdirection,2.984,0.202,0.034,0.826,0.143,0.425,2021-06-25 11:46:49
483415,radialvertical,3.845,0.458,0.243,2.426,0.324,1.246,2021-06-25 11:46:49
483416,radialhorizontal,4.105,0.469,0.242,2.708,0.332,1.361,2021-06-25 11:46:49
483417,radialvertical,4.616,0.285,0.164,1.712,0.201,0.929,2021-06-25 11:46:49
483418,radialhorizontal,3.08,0.704,0.486,3.002,0.498,1.532,2021-06-25 11:46:49
483419,bearingradial,4.799,0.548,0.289,3.473,0.388,1.86,2021-06-25 11:46:49
483424,axialdirection,2.967,0.199,0.034,0.828,0.141,0.419,2021-06-25 11:46:52
483425,radialvertical,4.048,0.467,0.238,2.653,0.33,1.336,2021-06-25 11:46:52
483426,radialhorizontal,4.259,0.475,0.224,2.729,0.336,1.43,2021-06-25 11:46:52
483427,radialvertical,4.222,0.287,0.164,1.61,0.203,0.855,2021-06-25 11:46:52
483428,radialhorizontal,3.368,0.709,0.488,3.335,0.501,1.688,2021-06-25 11:46:52
483429,bearingradial,6.786,0.555,0.316,4.429,0.393,2.665,2021-06-25 11:46:52
483434,axialdirection,2.773,0.196,0.034,0.749,0.139,0.385,2021-06-25 11:46:54
483435,radialvertical,3.986,0.451,0.236,2.519,0.319,1.272,2021-06-25 11:46:54
483436,radialhorizontal,4.199,0.46,0.227,2.657,0.326,1.367,2021-06-25 11:46:54
483437,radialvertical,4.006,0.28,0.161,1.57,0.198,0.794,2021-06-25 11:46:54
483438,radialhorizontal,3.282,0.7,0.485,3.177,0.495,1.626,2021-06-25 11:46:55
483439,bearingradial,4.697,0.551,0.298,3.364,0.39,1.831,2021-06-25 11:46:55
483444,axialdirection,2.855,0.201,0.033,0.81,0.142,0.406,2021-06-25 11:46:57
483445,radialvertical,4.115,0.457,0.23,2.547,0.323,1.331,2021-06-25 11:46:57
483446,radialhorizontal,4.33,0.474,0.234,2.762,0.335,1.452,2021-06-25 11:46:57
483447,radialvertical,3.819,0.286,0.172,1.535,0.203,0.774,2021-06-25 11:46:57
483448,radialhorizontal,2.955,0.702,0.489,2.907,0.496,1.467,2021-06-25 11:46:57
483449,bearingradial,4.504,0.558,0.302,3.547,0.394,1.777,2021-06-25 11:46:57
483454,axialdirection,3.242,0.206,0.035,0.889,0.146,0.473,2021-06-25 11:47:00
483455,radialvertical,4.398,0.456,0.228,2.688,0.322,1.418,2021-06-25 11:47:00
483456,radialhorizontal,5.245,0.474,0.217,3.178,0.335,1.758,2021-06-25 11:47:00
483457,radialvertical,4.301,0.283,0.16,1.612,0.2,0.859,2021-06-25 11:47:00
483458,radialhorizontal,2.989,0.723,0.492,3.055,0.511,1.528,2021-06-25 11:47:00
483459,bearingradial,4.82,0.55,0.295,3.542,0.389,1.874,2021-06-25 11:47:00
483464,axialdirection,2.854,0.2,0.033,0.804,0.141,0.403,2021-06-25 11:47:02
483465,radialvertical,4.054,0.453,0.238,2.561,0.32,1.298,2021-06-25 11:47:02
483466,radialhorizontal,4.074,0.458,0.226,2.524,0.324,1.319,2021-06-25 11:47:03
483467,radialvertical,3.452,0.278,0.162,1.351,0.196,0.678,2021-06-25 11:47:03
483468,radialhorizontal,3.267,0.689,0.468,3.158,0.487,1.591,2021-06-25 11:47:03
483469,bearingradial,4.251,0.558,0.307,3.212,0.395,1.678,2021-06-25 11:47:03
483474,axialdirection,2.802,0.206,0.035,0.807,0.145,0.407,2021-06-25 11:47:05
483475,radialvertical,4.067,0.455,0.235,2.575,0.322,1.308,2021-06-25 11:47:05
483476,radialhorizontal,4.18,0.469,0.226,2.68,0.332,1.386,2021-06-25 11:47:05
483477,radialvertical,4.096,0.282,0.156,1.606,0.198,0.841,2021-06-25 11:47:05
483478,radialhorizontal,3.111,0.703,0.476,3.02,0.497,1.545,2021-06-25 11:47:05
483479,bearingradial,4.148,0.563,0.292,3.268,0.398,1.652,2021-06-25 11:47:05
483484,axialdirection,2.906,0.204,0.034,0.821,0.144,0.419,2021-06-25 11:47:08
483485,radialvertical,3.959,0.456,0.232,2.52,0.323,1.277,2021-06-25 11:47:08
483486,radialhorizontal,4.219,0.464,0.226,2.702,0.328,1.385,2021-06-25 11:47:08
483487,radialvertical,4.365,0.283,0.164,1.692,0.2,0.874,2021-06-25 11:47:08
483488,radialhorizontal,3.167,0.689,0.476,3.021,0.487,1.542,2021-06-25 11:47:08
483489,bearingradial,4.235,0.561,0.297,3.232,0.397,1.68,2021-06-25 11:47:08
483494,axialdirection,2.733,0.198,0.032,0.751,0.14,0.382,2021-06-25 11:47:11
483495,radialvertical,3.956,0.456,0.241,2.412,0.323,1.277,2021-06-25 11:47:11
483496,radialhorizontal,4.307,0.457,0.226,2.641,0.323,1.393,2021-06-25 11:47:11
483497,radialvertical,4.391,0.276,0.16,1.619,0.195,0.856,2021-06-25 11:47:11
483498,radialhorizontal,3.294,0.706,0.481,3.178,0.499,1.645,2021-06-25 11:47:11
483499,bearingradial,4.616,0.551,0.295,3.469,0.39,1.8,2021-06-25 11:47:11
483504,axialdirection,3.084,0.2,0.037,0.811,0.139,0.415,2021-06-25 11:47:13
483505,radialvertical,4.244,0.459,0.234,2.623,0.325,1.378,2021-06-25 11:47:13
