,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
466668,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:30:57
466669,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:30:57
466674,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:30:59
466675,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:30:59
466676,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:30:59
466677,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:30:59
466678,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:00
466679,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:00
466684,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:02
466685,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:02
466686,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:02
466687,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:02
466688,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:02
466689,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:02
466694,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:05
466695,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:05
466696,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:05
466697,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:05
466698,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:05
466699,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:05
466704,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:07
466705,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:07
466706,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:08
466707,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:08
466708,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:08
466709,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:08
466714,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:10
466715,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:10
466716,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:10
466717,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:10
466718,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:10
466719,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:10
466724,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:13
466725,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:13
466726,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:13
466727,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:13
466728,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:13
466729,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:13
466734,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:15
466735,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:16
466736,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:16
466737,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:16
466738,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:16
466739,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:16
466744,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:18
466745,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:18
466746,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:18
466747,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:18
466748,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:18
466749,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:19
466754,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 10:31:21
466755,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 10:31:21
466756,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 10:31:21
466757,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 10:31:21
466758,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 10:31:21
466759,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 10:31:21
