,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
66668,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:14
66669,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:14
66674,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:16
66675,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:16
66676,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:16
66677,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:16
66678,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:16
66679,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:16
66684,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:19
66685,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:19
66686,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:19
66687,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:19
66688,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:19
66689,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:19
66694,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:22
66695,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:22
66696,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:22
66697,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:22
66698,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:22
66699,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:22
66704,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:24
66705,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:24
66706,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:24
66707,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:24
66708,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:25
66709,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:25
66714,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:27
66715,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:27
66716,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:27
66717,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:27
66718,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:27
66719,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:27
66724,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:30
66725,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-23 23:22:30
66726,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-23 23:22:30
66727,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-23 23:22:30
66728,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-23 23:22:30
66729,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-23 23:22:30
66734,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-23 23:22:32
