,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
4,axialdirection,3.275,1.142,0.225,5.011,0.808,2.645,2021-06-21 18:30:11
5,radialvertical,3.634,5.469,3.288,26.797,3.867,14.054,2021-06-21 18:30:12
6,radialhorizontal,2.652,10.256,7.021,38.03,7.252,19.232,2021-06-21 18:30:12
7,radialvertical,3.528,4.029,2.746,18.878,2.849,10.052,2021-06-21 18:30:12
8,radialhorizontal,4.052,6.679,2.313,36.846,4.723,19.136,2021-06-21 18:30:12
9,bearingradial,6.013,6.061,4.019,49.316,4.286,25.771,2021-06-21 18:30:12
14,axialdirection,3.275,1.142,0.225,5.011,0.808,2.645,2021-06-21 18:30:14
15,radialvertical,3.634,5.469,3.288,26.797,3.867,14.054,2021-06-21 18:30:14
16,radialhorizontal,2.652,10.256,7.021,38.03,7.252,19.232,2021-06-21 18:30:14
17,radialvertical,3.528,4.029,2.746,18.878,2.849,10.052,2021-06-21 18:30:14
18,radialhorizontal,4.052,6.679,2.313,36.846,4.723,19.136,2021-06-21 18:30:15
19,bearingradial,6.013,6.061,4.019,49.316,4.286,25.771,2021-06-21 18:30:15
24,axialdirection,3.275,1.142,0.225,5.011,0.808,2.645,2021-06-21 18:30:17
25,radialvertical,3.634,5.469,3.288,26.797,3.867,14.054,2021-06-21 18:30:17
26,radialhorizontal,2.652,10.256,7.021,38.03,7.252,19.232,2021-06-21 18:30:17
27,radialvertical,3.528,4.029,2.746,18.878,2.849,10.052,2021-06-21 18:30:17
28,radialhorizontal,4.052,6.679,2.313,36.846,4.723,19.136,2021-06-21 18:30:17
29,bearingradial,6.013,6.061,4.019,49.316,4.286,25.771,2021-06-21 18:30:17
34,axialdirection,3.275,1.142,0.225,5.011,0.808,2.645,2021-06-21 18:30:20
35,radialvertical,3.634,5.469,3.288,26.797,3.867,14.054,2021-06-21 18:30:20
36,radialhorizontal,2.652,10.256,7.021,38.03,7.252,19.232,2021-06-21 18:30:20
37,radialvertical,3.528,4.029,2.746,18.878,2.849,10.052,2021-06-21 18:30:20
38,radialhorizontal,4.052,6.679,2.313,36.846,4.723,19.136,2021-06-21 18:30:20
39,bearingradial,6.013,6.061,4.019,49.316,4.286,25.771,2021-06-21 18:30:20
44,axialdirection,3.275,1.142,0.225,5.011,0.808,2.645,2021-06-21 18:30:23
45,radialvertical,3.634,5.469,3.288,26.797,3.867,14.054,2021-06-21 18:30:23
46,radialhorizontal,2.652,10.256,7.021,38.03,7.252,19.232,2021-06-21 18:30:23
