,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
966668,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:26
966669,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:26
966674,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:29
966675,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:29
966676,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:29
966677,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:29
966678,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:29
966679,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:29
966684,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:31
966685,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:32
966686,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:32
966687,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:32
966688,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:32
966689,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:32
966694,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:34
966695,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:34
966696,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:34
966697,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:34
966698,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:35
966699,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:35
966704,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:37
966705,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:37
966706,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:37
966707,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:37
966708,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:37
966709,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:37
966714,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:40
966715,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:40
966716,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:40
966717,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:40
966718,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:40
966719,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:40
966724,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:42
966725,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:42
966726,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:43
966727,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:43
966728,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 02:31:43
966729,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:43
966734,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:45
966735,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 02:31:45
966736,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 02:31:45
966737,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 02:31:45
