,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
283336,radialhorizontal,3.986,0.423,0.207,2.266,0.299,1.194,2021-06-24 15:43:54
283337,radialvertical,4.296,0.253,0.151,1.445,0.179,0.767,2021-06-24 15:43:54
283338,radialhorizontal,4.229,0.581,0.398,2.563,0.393,1.347,2021-06-24 15:43:54
283339,bearingradial,5.363,0.527,0.285,3.703,0.373,1.999,2021-06-24 15:43:54
283344,axialdirection,3.038,0.21,0.031,0.902,0.148,0.451,2021-06-24 15:43:56
283345,radialvertical,4.453,0.445,0.218,2.645,0.314,1.4,2021-06-24 15:43:56
283346,radialhorizontal,3.877,0.419,0.209,2.247,0.296,1.148,2021-06-24 15:43:57
283347,radialvertical,3.968,0.25,0.148,1.389,0.177,0.701,2021-06-24 15:43:57
283348,radialhorizontal,3.781,0.568,0.384,2.98,0.402,1.519,2021-06-24 15:43:57
283349,bearingradial,4.383,0.531,0.283,3.094,0.375,1.644,2021-06-24 15:43:57
283354,axialdirection,2.903,0.203,0.03,0.799,0.143,0.416,2021-06-24 15:43:59
283355,radialvertical,5.015,0.454,0.224,2.86,0.321,1.609,2021-06-24 15:43:59
283356,radialhorizontal,3.906,0.422,0.205,2.28,0.298,1.165,2021-06-24 15:43:59
283357,radialvertical,4.333,0.257,0.154,1.513,0.182,0.788,2021-06-24 15:43:59
283358,radialhorizontal,3.345,0.571,0.385,2.595,0.403,1.35,2021-06-24 15:43:59
283359,bearingradial,4.117,0.53,0.293,3.033,0.375,1.544,2021-06-24 15:43:59
283364,axialdirection,3.055,0.203,0.03,0.845,0.143,0.438,2021-06-24 15:44:02
283365,radialvertical,3.924,0.454,0.216,2.503,0.321,1.259,2021-06-24 15:44:02
283366,radialhorizontal,4.732,0.421,0.204,2.567,0.298,1.409,2021-06-24 15:44:02
283367,radialvertical,4.052,0.258,0.157,1.464,0.182,0.738,2021-06-24 15:44:02
283368,radialhorizontal,3.452,0.57,0.388,2.593,0.403,1.391,2021-06-24 15:44:02
283369,bearingradial,4.154,0.533,0.294,3.019,0.377,1.564,2021-06-24 15:44:02
283374,axialdirection,3.043,0.198,0.029,0.832,0.14,0.426,2021-06-24 16:37:05
283375,radialvertical,5.13,0.463,0.229,3.146,0.328,1.681,2021-06-24 16:37:05
283376,radialhorizontal,3.949,0.43,0.214,2.342,0.304,1.202,2021-06-24 16:37:05
283377,radialvertical,4.008,0.264,0.15,1.481,0.186,0.747,2021-06-24 16:37:05
283378,radialhorizontal,3.224,0.603,0.412,2.704,0.426,1.374,2021-06-24 16:37:06
283379,bearingradial,4.368,0.512,0.278,3.02,0.362,1.581,2021-06-24 16:37:06
283384,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:09
283385,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:09
283386,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:09
283387,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:09
283388,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:09
283389,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:09
283394,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:11
283395,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:11
283396,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:12
283397,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:12
283398,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:12
283399,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:12
283404,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:14
283405,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:14
283406,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:14
283407,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:14
283408,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:14
283409,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:14
283414,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:17
283415,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:17
283416,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:17
283417,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:17
283418,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:17
283419,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:17
283424,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:20
283425,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:20
283426,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:20
283427,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:20
283428,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:20
283429,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:20
283434,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:22
283435,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:22
283436,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:22
283437,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:22
283438,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:23
283439,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:23
283444,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:25
283445,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:25
283446,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:25
283447,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:25
283448,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:25
283449,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:25
283454,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:28
283455,radialvertical,4.049,0.462,0.231,2.432,0.326,1.322,2021-06-24 17:49:28
283456,radialhorizontal,4.034,0.431,0.223,2.33,0.305,1.229,2021-06-24 17:49:28
283457,radialvertical,4.14,0.266,0.154,1.485,0.188,0.778,2021-06-24 17:49:28
283458,radialhorizontal,3.487,0.603,0.407,2.842,0.426,1.486,2021-06-24 17:49:28
283459,bearingradial,5.253,0.529,0.283,3.337,0.374,1.965,2021-06-24 17:49:28
283464,axialdirection,2.949,0.211,0.034,0.826,0.149,0.439,2021-06-24 17:49:30
