,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
933336,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-26 23:59:58
933337,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-26 23:59:58
933338,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-26 23:59:58
933339,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-26 23:59:58
933344,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:00
933345,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:00
933346,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:01
933347,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:01
933348,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:01
933349,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:01
933354,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:03
933355,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:03
933356,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:03
933357,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:03
933358,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:03
933359,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:03
933364,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:06
933365,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:06
933366,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:06
933367,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:06
933368,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:06
933369,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:06
933374,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:09
933375,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:09
933376,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:09
933377,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:09
933378,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:09
933379,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:09
933384,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:11
933385,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:11
933386,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:11
933387,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:11
933388,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:12
933389,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:12
933394,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:14
933395,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:14
933396,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:14
933397,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:14
933398,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:14
933399,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:14
933404,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:17
933405,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:17
933406,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:17
933407,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:17
933408,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:17
933409,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:17
933414,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:19
933415,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:20
933416,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:20
933417,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:20
933418,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:20
933419,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:20
933424,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:22
933425,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:22
933426,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:22
933427,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:22
933428,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:22
933429,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:23
933434,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:25
933435,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:25
933436,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:25
933437,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:25
933438,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:25
933439,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:25
933444,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:28
933445,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:28
933446,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:28
933447,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:28
933448,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:28
933449,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:28
933454,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:30
933455,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:30
933456,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:31
933457,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:31
933458,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:31
933459,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:31
933464,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:33
933465,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:33
933466,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:33
933467,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:33
933468,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:33
933469,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:33
933474,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:36
933475,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:36
933476,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:36
933477,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:36
933478,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:36
933479,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:36
933484,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:39
933485,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:39
933486,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:39
933487,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:39
933488,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:39
933489,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:39
933494,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:41
933495,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:41
933496,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:41
933497,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:42
933498,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:42
933499,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:42
933504,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:44
933505,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:44
933506,radialhorizontal,4.153,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:44
933507,radialvertical,3.745,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:44
933508,radialhorizontal,4.466,0.002,0.001,0.009,0.001,0.005,2021-06-27 00:00:44
933509,bearingradial,4.043,0.001,0.001,0.008,0.001,0.004,2021-06-27 00:00:44
933514,axialdirection,3.881,0.001,0.001,0.007,0.001,0.004,2021-06-27 00:00:47
933515,radialvertical,4.521,0.001,0.001,0.009,0.001,0.005,2021-06-27 00:00:47
