,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
400004,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:26
400005,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:26
400006,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:26
400007,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:26
400008,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:26
400009,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:26
400014,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:29
400015,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:29
400016,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:29
400017,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:29
400018,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:29
400019,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:29
400024,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:31
400025,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:32
400026,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:32
400027,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:32
400028,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:32
400029,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:32
400034,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:34
400035,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:34
400036,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:34
400037,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:34
400038,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:34
400039,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:35
400044,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:37
400045,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:37
400046,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:37
400047,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:37
400048,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:37
400049,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:37
400054,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:40
400055,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:40
400056,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:40
400057,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:40
400058,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:40
400059,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:40
400064,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:42
400065,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:42
400066,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 05:30:42
400067,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 05:30:43
400068,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 05:30:43
400069,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 05:30:43
400074,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 05:30:45
400075,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 05:30:45
