,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
333336,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:25
333337,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 00:28:25
333338,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 00:28:25
333339,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 00:28:25
333344,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 00:28:27
333345,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 00:28:27
333346,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:27
333347,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 00:28:27
333348,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 00:28:27
333349,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 00:28:28
333354,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 00:28:30
333355,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 00:28:30
333356,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:30
333357,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 00:28:30
333358,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 00:28:30
333359,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 00:28:30
333364,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 00:28:33
333365,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 00:28:33
333366,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:33
333367,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 00:28:33
333368,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 00:28:33
333369,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 00:28:33
333374,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 00:28:35
333375,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 00:28:35
333376,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:36
333377,radialvertical,4.477,0.081,0.053,0.46,0.057,0.256,2021-06-25 00:28:36
333378,radialhorizontal,4.746,0.099,0.056,0.592,0.07,0.332,2021-06-25 00:28:36
333379,bearingradial,5.303,0.298,0.165,2.134,0.21,1.116,2021-06-25 00:28:36
333384,axialdirection,3.86,0.202,0.014,1.067,0.143,0.551,2021-06-25 00:28:38
333385,radialvertical,4.233,0.128,0.051,0.756,0.09,0.382,2021-06-25 00:28:38
333386,radialhorizontal,6.03,0.101,0.057,0.752,0.072,0.431,2021-06-25 00:28:38
