,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
566668,radialhorizontal,3.355,0.652,0.445,2.843,0.461,1.546,2021-06-25 20:16:43
566669,bearingradial,5.162,0.567,0.297,4.03,0.401,2.068,2021-06-25 20:16:43
566674,axialdirection,2.77,0.264,0.035,1.009,0.187,0.517,2021-06-25 20:16:45
566675,radialvertical,4.186,0.492,0.236,2.825,0.348,1.455,2021-06-25 20:16:45
566676,radialhorizontal,4.342,0.458,0.22,2.636,0.324,1.406,2021-06-25 20:16:45
566677,radialvertical,4.123,0.275,0.161,1.549,0.194,0.801,2021-06-25 20:16:45
566678,radialhorizontal,3.355,0.652,0.445,2.843,0.461,1.546,2021-06-25 20:16:45
566679,bearingradial,5.162,0.567,0.297,4.03,0.401,2.068,2021-06-25 20:16:45
566684,axialdirection,2.77,0.264,0.035,1.009,0.187,0.517,2021-06-25 20:16:48
566685,radialvertical,4.186,0.492,0.236,2.825,0.348,1.455,2021-06-25 20:16:48
566686,radialhorizontal,4.342,0.458,0.22,2.636,0.324,1.406,2021-06-25 20:16:48
566687,radialvertical,4.123,0.275,0.161,1.549,0.194,0.801,2021-06-25 20:16:48
566688,radialhorizontal,3.355,0.652,0.445,2.843,0.461,1.546,2021-06-25 20:16:48
566689,bearingradial,5.162,0.567,0.297,4.03,0.401,2.068,2021-06-25 20:16:48
566694,axialdirection,2.77,0.264,0.035,1.009,0.187,0.517,2021-06-25 20:16:50
566695,radialvertical,4.186,0.492,0.236,2.825,0.348,1.455,2021-06-25 20:16:51
566696,radialhorizontal,4.342,0.458,0.22,2.636,0.324,1.406,2021-06-25 20:16:51
566697,radialvertical,4.123,0.275,0.161,1.549,0.194,0.801,2021-06-25 20:16:51
566698,radialhorizontal,3.355,0.652,0.445,2.843,0.461,1.546,2021-06-25 20:16:51
566699,bearingradial,5.162,0.567,0.297,4.03,0.401,2.068,2021-06-25 20:16:51
566704,axialdirection,2.77,0.264,0.035,1.009,0.187,0.517,2021-06-25 20:16:53
566705,radialvertical,4.186,0.492,0.236,2.825,0.348,1.455,2021-06-25 20:16:53
566706,radialhorizontal,4.342,0.458,0.22,2.636,0.324,1.406,2021-06-25 20:16:53
566707,radialvertical,4.123,0.275,0.161,1.549,0.194,0.801,2021-06-25 20:16:53
566708,radialhorizontal,3.355,0.652,0.445,2.843,0.461,1.546,2021-06-25 20:16:53
566709,bearingradial,5.162,0.567,0.297,4.03,0.401,2.068,2021-06-25 20:16:54
566714,axialdirection,2.77,0.264,0.035,1.009,0.187,0.517,2021-06-25 20:16:56
566715,radialvertical,4.186,0.492,0.236,2.825,0.348,1.455,2021-06-25 20:16:56
