,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
750004,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:12
750005,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:12
750006,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:12
750007,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:12
750008,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:12
750009,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:12
750014,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:14
750015,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:14
750016,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:14
750017,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:14
750018,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:15
750019,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:15
750024,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:17
750025,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:17
750026,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:17
750027,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:17
750028,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:17
750029,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:17
750034,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:20
750035,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:20
750036,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:20
750037,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:20
750038,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:20
750039,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:20
750044,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:22
750045,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:22
750046,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:23
750047,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:23
750048,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:23
750049,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:23
750054,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:25
750055,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:25
750056,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:25
750057,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:25
750058,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:25
750059,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:25
750064,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:28
750065,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:28
750066,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:28
750067,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:28
750068,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:28
750069,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:28
750074,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:31
750075,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:31
750076,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:31
750077,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:31
750078,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:31
750079,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:31
750084,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:33
750085,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:33
750086,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:33
750087,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:33
750088,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:33
750089,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:34
750094,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:36
750095,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:36
750096,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:36
750097,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:36
750098,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:36
750099,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:36
750104,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:39
750105,radialvertical,4.005,0.5,0.249,2.765,0.353,1.416,2021-06-26 10:08:39
750106,radialhorizontal,4.599,0.465,0.218,2.807,0.329,1.512,2021-06-26 10:08:39
750107,radialvertical,3.893,0.28,0.161,1.498,0.198,0.771,2021-06-26 10:08:39
750108,radialhorizontal,3.271,0.64,0.44,2.897,0.453,1.48,2021-06-26 10:08:39
750109,bearingradial,5.693,0.571,0.311,4.335,0.404,2.3,2021-06-26 10:08:39
750114,axialdirection,2.509,0.278,0.034,0.985,0.196,0.493,2021-06-26 10:08:41
