,description,CrestFactor,DerivedPeak,HighFrequency,PeakPeak,RMS,TruePeak,time
133336,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:23
133337,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:23
133338,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:23
133339,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:24
133344,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:26
133345,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:26
133346,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:26
133347,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:26
133348,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:26
133349,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:26
133354,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:29
133355,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:29
133356,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:29
133357,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:29
133358,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:29
133359,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:29
133364,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:31
133365,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:31
133366,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:32
133367,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:32
133368,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:32
133369,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:32
133374,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:34
133375,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:34
133376,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:34
133377,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:34
133378,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:34
133379,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:34
133384,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:37
133385,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:37
133386,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:37
133387,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:37
133388,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:37
133389,bearingradial,8.689,0.494,0.278,5.586,0.349,3.033,2021-06-24 04:24:37
133394,axialdirection,3.023,0.231,0.031,0.975,0.163,0.494,2021-06-24 04:24:40
133395,radialvertical,3.518,0.364,0.114,1.738,0.257,0.906,2021-06-24 04:24:40
133396,radialhorizontal,3.448,0.275,0.131,1.336,0.195,0.671,2021-06-24 04:24:40
133397,radialvertical,3.969,0.206,0.113,1.105,0.145,0.577,2021-06-24 04:24:40
133398,radialhorizontal,3.799,0.281,0.151,1.464,0.199,0.755,2021-06-24 04:24:40
